record_id,source_file,source_stem,run_timestamp,Name,dp_index,P27,P46,P47,P50,P51,P52,P39,P40,P45,P56,P59,P60,P61,P62,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91
86,Расчет 1 2000.csv,Расчет 1 2000,04/02/2026 15:32:57,DP 10,10,0.6,1,1000,9.866879223893614e-07,8.502289077828646e-08,919.75,0.02204087,0.0846830118699999,0.0027909,9.8834872e-05,0.00273919,0.112352806742,0.2557227239999999,0.368075530742,0.168557,1139.8278,-0.08479518,-0.00011216813,0.077375856,-1.3333258e-05,0.60005171,-0.10683605,0.6027909,-0.33309858,8225.4715,3.7863328,1128.2802,0.86989039,1145.4682,1083.026,4935.282899999999,0.168557,0.86989039,0.13010961,0.091277808,0.7942768,0.2057232,0.5714285714285712,8.0624699,151.35278
87,Расчет 1 2000.csv,Расчет 1 2000,04/02/2026 15:32:57,DP 11,11,0.55,1,1000,9.866879223893614e-07,8.502289077828646e-08,878.55,0.02306766,0.10062810406,0.0034196599999999,0.000116904925,0.0033584899999999,0.1305908189849999,0.272185002,0.4027758209849999,0.16050545,1159.0405,-0.10076078,-0.00013267594,0.092969438,-1.5771015e-05,0.55006117,-0.12382844,0.55341966,-0.36515444,9729.3579,4.3105824,1144.5047,0.85158547,1166.1948,1087.1182,5351.146845000001,0.16050545,0.85158547,0.14841453,0.083375691,0.76414617,0.23585383,0.5238095238095238,8.1075256,155.57445
88,Расчет 1 2000.csv,Расчет 1 2000,04/02/2026 15:32:57,DP 12,12,0.5,1,1000,9.866879223893614e-07,8.502289077828646e-08,831.65,0.0235243399999999,0.11713309328,0.00408609,0.000135594354,0.00401515,0.1488942676340001,0.2880508,0.436945067634,0.15201197,1180.0977,-0.11728698,-0.00015388672,0.10931298,-1.8292366e-05,0.50007094,-0.14081132,0.50408609,-0.39736378,11284.815,4.9487894,1162.2965,0.83265303,1188.9032,1091.4124,5642.4075,0.15201197,0.83265303,0.16734697,0.075898691,0.73381831,0.26618169,0.4761904761904761,8.159041,160.04806
89,Расчет 1 2000.csv,Расчет 1 2000,04/02/2026 15:32:57,DP 13,13,0.4,1,1000,9.866879223893614e-07,8.502289077828646e-08,730.95,0.0219832299999999,0.15174453802,0.0054779199999999,0.000173557957,0.0053871099999999,0.1847663559769999,0.31893704,0.503703395977,0.13421902,1233.4065,-0.15194151,-0.00019697198,0.14441443,-2.3414023e-05,0.40009081,-0.17392474,0.40547792,-0.46335147,14444.434,6.9393522,1208.6311,0.79419709,1245.7332,1107.7406,5777.7736,0.13421902,0.79419709,0.20580291,0.062067278,0.67576087,0.32423913,0.3809523809523809,8.3236952,170.53974
90,Расчет 1 2000.csv,Расчет 1 2000,04/02/2026 15:32:57,DP 14,14,0.3,1,1000,9.866879223893614e-07,8.502289077828646e-08,620.3499999999999,0.0189653999999999,0.18746021399,0.00686881,0.000210454289,0.0067587,0.220263578279,0.34906545,0.569329028279,0.11619589,1295.9869,-0.18769906,-0.00023884601,0.18111798,-2.8391721e-05,0.30011011,-0.20666446,0.30686881,-0.53018343,17515.241,10.016599,1264.0372,0.75682502,1311.9133,1130.362,5254.572300000001,0.11619589,0.75682502,0.24317498,0.049613082,0.62401098,0.37598902,0.2857142857142857,8.5357342,182.27165
91,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 0,0,1.05,1,1000,9.866879223893614e-07,8.502289077828646e-08,1073.15,1.4249749999999897e-12,-6.146296073e-11,0.0,1.94535221e-14,0.0,-6.00185322079e-11,2.8011300000000003e-11,-3.20072322079e-11,0.21,1073.1489,6.1440422e-11,-2.253873e-14,1e-10,-3.0852079e-15,1.05,6.0015447e-11,1.05,-1.280113e-10,-7.9588186e-06,2.3705672,1073.1489,0.97,1073.149,1073.1489,-8.35675953e-06,0.21,0.97,0.03,0.21,0.97,0.03,1.0,8.0225817,131.4613
92,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 1,1,1.03,1,1000,9.866879223893614e-07,8.502289077828646e-08,1072.85,0.00023881227,0.00055525741171,1.4399999999969992e-05,6.81392486e-07,1.399999999995849e-05,0.0008231510741959,0.01863296168,0.0194561127541959,0.20972839,1073.3829,-0.00055603073,-7.7331829e-07,0.00047683632,-9.1925804e-08,1.0300004,-0.000794843,1.0300144,-0.019109798,56.714071,2.3748656,1073.3533,0.96930988,1073.3963,1073.2413,58.41549313,0.20972839,0.96930988,0.030690121,0.20863,0.96873876,0.031261236,0.9809523809523808,8.0189006,131.58665
93,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 2,2,1.0,1,1000,9.866879223893614e-07,8.502289077828646e-08,1072.05,0.0007177673,0.0016760299136,4.350000000008514e-05,2.0550403e-06,4.240000000010902e-05,0.0024817522539001,0.0458767405,0.0483584927539001,0.2091803,1073.836,-0.0016783622,-2.3322864e-06,0.0014403015,-2.772461e-07,1.0000011,-0.0023961295,1.0000435,-0.047317042,171.04033,2.3829614,1073.7375,0.96791871,1073.8811,1073.3624,171.04033,0.2091803,0.96791871,0.032081289,0.20587658,0.96619799,0.033802006,0.9523809523809524,8.0170855,131.83517
94,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 3,3,0.95,1,1000,9.866879223893614e-07,8.502289077828646e-08,1069.55,0.001997919,0.0047361024447,0.0001239299999999,5.79248683e-06,0.0001208999999999,0.0069846439315299,0.0883794122,0.0953640561315299,0.20768521,1075.4828,-0.0047426764,-6.5739553e-06,0.0040796598,-7.8146847e-07,0.95000303,-0.0067405954,0.95012393,-0.092459072,482.101,2.4130578,1075.1565,0.96413353,1075.6326,1073.9114,457.99595,0.20768521,0.96413353,0.03586647,0.19844043,0.9592977,0.040702299,0.9047619047619045,8.0148504,132.5531
95,Расчет 10 100.csv,Расчет 10 100,04/02/2026 15:46:06,DP 4,4,0.9,1,1000,9.866879223893614e-07,8.502289077828646e-08,1064.25,0.0041185889999999,0.010051318639,0.0002661199999999,1.22382859e-05,0.0002597199999999,0.0147079859248998,0.1254617854,0.1401697713248998,0.20509339,1078.7523,-0.010065208,-1.3889361e-05,0.0086969746,-1.6510751e-06,0.9000064,-0.014183797,0.90026612,-0.13415876,1018.5719,2.4733522,1077.9566,0.9576052,1079.1179,1074.9163,916.71471,0.20509339,0.9576052,0.042394799,0.18580593,0.94744292,0.052557074,0.8571428571428571,8.013421,133.82267
