P27,P46,P47,P52,predicted_P76,predicted_P62,rank,crowding,distance_to_ideal,nearest_source_file,nearest_name,nearest_dataset_P76,nearest_dataset_P62,feature_distance_to_dataset
0.42063569879563634,1.0,1269.2811270485627,890.1064651608039,12462.866756625484,0.44531702817623275,0,0.062413497296433196,0.9167522420239637,Расчет 1 1000.csv,DP 12,13782.944,0.4058665782159998,0.21897715286149907
0.4482734479525921,1.815643064404345,1271.8741103350392,848.8676491573513,12531.500200867165,0.44724973719605754,0,0.0923817303777883,0.9188015529005644,Расчет 1 1000.csv,DP 12,13782.944,0.4058665782159998,0.18679145133406413
0.710856314128556,5.116677754106732,669.0802763709455,839.0669222694407,2248.893686959324,0.13555939161892014,0,0.07658716718371042,0.919486828514236,j-cell-40x40-xchem2t-dp-params-3.csv,DP 8,365.9189,0.06410811445212,0.2634465533622253
0.7364106356047254,4.566182748220758,1162.9416278239821,850.9825867856484,2000.53422614604,0.12315300320138797,0,0.09829066562592068,0.9256839239866129,calc1.csv,DP 7,291.72497,0.0544930830179699,0.24442454070797953
0.3123270034834841,2.7588094215257635,1011.593098447441,885.0239810437633,17123.13017995497,0.4926472497116839,0,0.09587120085586426,0.9437382860125855,Расчет 1 1000.csv,DP 12,13782.944,0.4058665782159998,0.33872921056336236
0.771025147974591,4.821620825283493,1003.265544132025,829.2072258013162,1466.6533928046629,0.10538958019382666,0,0.11666699521693047,0.9449347789149952,calc1.csv,DP 7,291.72497,0.0544930830179699,0.17827319873113695
0.3404776048374282,1.8472458414906539,1540.9097853521748,711.1381872369642,17753.68677526811,0.5016239679229044,0,0.13405849742912812,0.9576604100114975,Расчет 1 1000.csv,DP 13,17547.312,0.4765990062549999,0.31324591747925634
0.336324391298455,3.5726312167051386,636.9927102042757,977.4710622701672,19124.55169756547,0.5081534251964603,0,0.11776840557195917,0.9673295569005098,Расчет 1 1000.csv,DP 11,12028.646,0.3721147648949999,0.4970987210948076
0.750226935141013,4.808965642918578,952.3447638664577,808.3316369754239,855.790047224999,0.09327653678751271,0,0.12768572822907948,0.971661172482144,calc1.csv,DP 7,291.72497,0.0544930830179699,0.13294895626361897
0.7704816305268324,5.502891412959154,1037.1091931753044,658.5863886121417,404.2750617393543,0.040085020040211986,0,0.10413487360951142,0.9818531090659085,calc1.csv,DP 7,291.72497,0.0544930830179699,0.21214873503036508
0.8308701837602084,4.218540590418873,1110.8122291443724,837.7339312182446,435.18557373898875,0.06661661231681343,0,0.12484030307419272,0.9854622914711911,calc1.csv,DP 5,166.4254,0.03618367554416,0.2216612978997222
0.8766376497117093,4.601619895815845,1231.2302917509173,722.4200013407496,105.44209533166692,0.020960707561211173,0,0.09742301200275992,0.9952926159662651,calc1.csv,DP 4,114.16148,0.0272684100222799,0.14646021415779012
1.05,1.0,1000.0,1073.15,0.0011361938073338339,9.90335012259829e-10,0,inf,1.0,Расчет 1 1000.csv,DP 0,0.0069541899,6.188663417999852e-09,0.0
0.33568274801761744,3.246856282448029,1119.75705183223,808.2147337657483,19144.9047887738,0.5253160398342732,0,inf,1.0,calc1.csv,DP 14,20125.538,0.553236717092,0.24639440499559595
